222: 1/1/2015 13:25 32.77, -97.09 Rain
223: 1/1/2015 13:29 35.22, -97.46 None
224: 1/1/2015 13:30 45.16, -93.27 Snow
225: 1/1/2015 13:33 34.75, -92.45 None
226: 1/1/2015 13:34 42.65, -78.71 Snow
227: 1/1/2015 13:36 30.50, -97.84 Rain
228: 1/1/2015 13:37 32.86, -97.24 Rain
229: 1/1/2015 13:37 33.50, -96.62 Freezing Rain
230: 1/1/2015 13:39 29.83, -97.99 Drizzle
231: 1/1/2015 13:39 29.83, -97.99 Drizzle
232: 1/1/2015 13:39 29.83, -97.99 Drizzle
233: 1/1/2015 13:39 29.83, -97.99 Drizzle
234: 1/1/2015 13:42 29.89, -97.95 Rain
235: 1/1/2015 13:42 40.55, -76.79 None
236: 1/1/2015 13:39 29.83, -97.99 Drizzle
237: 1/1/2015 13:39 29.83, -97.99 Drizzle
238: 1/1/2015 13:45 29.75, -98.06 None
239: 1/1/2015 13:46 29.73, -98.08 Drizzle
240: 1/1/2015 13:47 30.50, -97.84 Rain
241: 1/1/2015 13:46 29.73, -98.08 Drizzle
242: 1/1/2015 13:46 29.73, -98.08 Drizzle
243: 1/1/2015 13:48 43.03, -78.95 Snow
244: 1/1/2015 13:46 29.73, -98.08 Drizzle
245: 1/1/2015 13:46 29.73, -98.08 Drizzle
246: 1/1/2015 13:46 29.73, -98.08 Drizzle
247: 1/1/2015 13:46 29.73, -98.08 Drizzle
248: 1/1/2015 13:46 29.73, -98.08 Drizzle
249: 1/1/2015 13:46 29.73, -98.08 Drizzle
250: 1/1/2015 13:54 32.46, -99.79 Freezing Rain
251: 1/1/2015 13:56 30.54, -97.74 Rain
252: 1/1/2015 13:56 35.43, -96.58 Freezing Drizzle
253: 1/1/2015 13:57 30.23, -95.57 Rain
254: 1/1/2015 14:00 31.74, -97.55 Test
255: 1/1/2015 14:01 43.03, -78.95 Snow
256: 1/1/2015 14:03 44.78, -93.49 Snow
257: 1/1/2015 14:05 32.41, -100.71 Snow
258: 1/1/2015 14:07 32.00, -98.47 Freezing Drizzle
259: 1/1/2015 14:07 34.43, -93.17 Drizzle
260: 1/1/2015 14:13 43.03, -78.95 Snow
261: 1/1/2015 14:15 36.01, -96.11 Ice Pellets
262: 1/1/2015 14:15 44.61, -90.14 Snow
263: 1/1/2015 14:15 33.16, -96.86 Ice Pellets
264: 1/1/2015 14:16 31.68, -96.39 Rain
265: 1/1/2015 14:16 28.85, -98.71 Drizzle
266: 1/1/2015 14:19 36.20, -83.52 Test
267: 1/1/2015 14:20 32.44, -98.99 Freezing Drizzle
268: 1/1/2015 14:20 43.14, -77.68 None
269: 1/1/2015 14:27 32.95, -97.08 Freezing Rain
270: 1/1/2015 14:28 44.27, -88.40 Snow
271: 1/1/2015 14:28 35.15, -97.64 Freezing Drizzle
272: 1/1/2015 14:29 33.90, -84.44 None
